trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.9, 'e': 0.3149999999999994}",25,13,-55.35427673458382,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
138,False,"{'a': 0.9, 'e': 0.3099999999999994}",20,0,-0.8020979619782072,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.9, 'e': 0.3049999999999994}",25,0,6.265009675370623,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
140,False,"{'a': 0.9, 'e': 0.2999999999999994}",25,17,13.78931973683176,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.2949999999999994}",35,12,16.36974374018059,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.9, 'e': 0.28999999999999937}",25,8,-23.356485860227878,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.9, 'e': 0.28499999999999936}",25,19,8.862174971609912,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.27999999999999936}",30,0,28.84143960207483,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.9, 'e': 0.27499999999999936}",20,6,13.284689923141796,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.26999999999999935}",30,0,24.353184883356555,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.9, 'e': 0.26499999999999935}",35,23,20.625055519700098,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 0.25999999999999934}",20,7,8.917339427668134,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.25499999999999934}",20,9,-15.706345041553499,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.24999999999999933}",20,0,-61.60349729958989,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
151,False,"{'a': 0.9, 'e': 0.24499999999999933}",35,17,12.917245897424536,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.23999999999999932}",30,19,16.67367792477994,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.23499999999999932}",20,5,-0.18515359664480047,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.22999999999999932}",25,0,16.16171884268744,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.9, 'e': 0.2249999999999993}",20,11,4.011161962755495,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.2199999999999993}",25,13,-22.687580379494364,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.9, 'e': 0.2149999999999993}",25,18,11.517468113697404,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.2099999999999993}",20,6,11.861040356522034,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.2049999999999993}",25,0,-22.802737870909564,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.9, 'e': 0.1999999999999993}",25,3,20.023775429120143,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.19499999999999929}",20,8,17.955840271767126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.18999999999999928}",20,12,4.549247080844425,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.18499999999999928}",20,10,8.355869959434335,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.17999999999999927}",25,2,-16.501070150102606,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.9, 'e': 0.17499999999999927}",30,13,-33.946268889293236,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
166,False,"{'a': 0.9, 'e': 0.16999999999999926}",25,5,-10.56808101924645,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.9, 'e': 0.16499999999999926}",30,19,19.396720020429047,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.15999999999999925}",25,10,12.344882041714238,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.15499999999999925}",30,17,-15.252413961553655,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.9, 'e': 0.14999999999999925}",20,0,30.3223851092127,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.9, 'e': 0.14499999999999924}",25,11,23.568151618181627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.13999999999999924}",20,14,9.967932830403676,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.13499999999999923}",20,12,17.710146562550506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.12999999999999923}",20,10,20.732112792507593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.12499999999999922}",20,12,1.4526181269748075,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.11999999999999922}",25,13,23.934424525910767,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.11499999999999921}",20,0,25.373717462537364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.10999999999999921}",25,1,-4.94651141366969,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.9, 'e': 0.1049999999999992}",20,13,11.362645439246466,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.0999999999999992}",30,0,8.597229779572354,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.0949999999999992}",20,8,-29.72941057015546,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.9, 'e': 0.08999999999999919}",30,20,20.787482176387666,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.08499999999999919}",20,16,6.6247439607962635,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
